LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
0.000000,0.000000,1726714197.641651,489621.500,12609,2,PR,1,100,149974
0.000000,0.000000,1726714197.681151,489661.000,12609,2,PR,1,100,149977
0.000000,0.000000,1726714197.721485,489701.333,12626,3,PR,1,100,149835
0.000000,0.000000,1726714197.761819,489741.667,12626,3,PR,1,100,149611
0.000000,0.000000,1726714197.802153,489782.000,12626,3,PR,1,100,149502
0.000000,0.000000,1726714197.841653,489821.500,12641,2,PR,1,100,149555
0.000000,0.000000,1726714197.881153,489861.000,12641,2,PR,1,100,149653
0.000000,0.000000,1726714197.921154,489901.000,12660,3,PR,1,100,149747
0.000000,0.000000,1726714197.961154,489941.000,12660,3,PR,1,100,149862
0.000000,0.000000,1726714198.001155,489981.000,12660,3,PR,1,100,149893
0.000000,0.000000,1726714198.041155,490021.000,12676,2,PR,1,100,149840
0.000000,0.000000,1726714198.081156,490061.000,12676,2,PR,1,100,149752
0.000000,0.000000,1726714198.121489,490101.333,12694,3,PR,1,100,149735
0.000000,0.000000,1726714198.161823,490141.667,12694,3,PR,1,100,149763
0.000000,0.000000,1726714198.202157,490182.000,12694,3,PR,1,100,149826
0.000000,0.000000,1726714198.241657,490221.500,12710,2,PR,1,100,149884
0.000000,0.000000,1726714198.281158,490261.000,12710,2,PR,1,100,149919
0.000000,0.000000,1726714198.321158,490301.000,12727,3,PR,1,100,149961
0.000000,0.000000,1726714198.361158,490341.000,12727,3,PR,1,100,149984
0.000000,0.000000,1726714198.401159,490381.000,12727,3,PR,1,100,149992
0.000000,0.000000,1726714198.441159,490421.000,12744,3,PR,1,100,150006
0.000000,0.000000,1726714198.481160,490461.000,12744,3,PR,1,100,150003
0.000000,0.000000,1726714198.521160,490501.000,12744,3,PR,1,100,150022
0.000000,0.000000,1726714198.561161,490541.000,12761,2,PR,1,100,150056
0.000000,0.000000,1726714198.601161,490581.000,12761,2,PR,1,100,150027
0.000000,0.000000,1726714198.641495,490621.333,12776,3,PR,1,100,149756
0.000000,0.000000,1726714198.681829,490661.667,12776,3,PR,1,100,149548
0.000000,0.000000,1726714198.722162,490702.000,12776,3,PR,1,100,149489
0.000000,0.000000,1726714198.761663,490741.500,12792,2,PR,1,100,149569
