LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
0.000000,0.000000,1726713969.008727,260991.000,40549,2,PI,1,100,162276
0.000000,0.000000,1726713969.048727,261031.000,40568,4,PI,1,100,162320
0.000000,0.000000,1726713969.088728,261071.000,40568,4,PI,1,100,162343
0.000000,0.000000,1726713969.128728,261111.000,40568,4,PI,1,100,162385
0.000000,0.000000,1726713969.168729,261151.000,40568,4,PI,1,100,162441
0.000000,0.000000,1726713969.208729,261191.000,40588,2,PI,1,100,162508
0.000000,0.000000,1726713969.248729,261231.000,40588,2,PI,1,100,162454
0.000000,0.000000,1726713969.288730,261271.000,40603,3,PI,1,100,162170
0.000000,0.000000,1726713969.328730,261311.000,40603,3,PI,1,100,161890
0.000000,0.000000,1726713969.368731,261351.000,40603,3,PI,1,100,161803
0.000000,0.000000,1726713969.408731,261391.000,40620,2,PI,1,100,161862
0.000000,0.000000,1726713969.448732,261431.000,40620,2,PI,1,100,161960
0.000000,0.000000,1726713969.488732,261471.000,40637,3,PI,1,100,162040
0.000000,0.000000,1726713969.528732,261511.000,40637,3,PI,1,100,162063
0.000000,0.000000,1726713969.568733,261551.000,40637,3,PI,1,100,162010
0.000000,0.000000,1726713969.608733,261591.000,40654,2,PI,1,100,161901
0.000000,0.000000,1726713969.648734,261631.000,40654,2,PI,1,100,161866
0.000000,0.000000,1726713969.688734,261671.000,40668,3,PI,1,100,161893
0.000000,0.000000,1726713969.728735,261711.000,40668,3,PI,1,100,161972
0.000000,0.000000,1726713969.768735,261751.000,40668,3,PI,1,100,162040
0.000000,0.000000,1726713969.808735,261791.000,40688,2,PI,1,100,162119
0.000000,0.000000,1726713969.848736,261831.000,40688,2,PI,1,100,162154
0.000000,0.000000,1726713969.888736,261871.000,40704,3,PI,1,100,162205
0.000000,0.000000,1726713969.928737,261911.000,40704,3,PI,1,100,162221
0.000000,0.000000,1726713969.968737,261951.000,40704,3,PI,1,100,162260
0.000000,0.000000,1726713970.008738,261991.000,40721,3,PI,1,100,162274
0.000000,0.000000,1726713970.048738,262031.000,40721,3,PI,1,100,162300
0.000000,0.000000,1726713970.088738,262071.000,40721,3,PI,1,100,162337
0.000000,0.000000,1726713970.128739,262111.000,40736,2,PI,1,100,162370
0.000000,0.000000,1726713970.168739,262151.000,40736,2,PI,1,100,162406
0.000000,0.000000,1726713970.208740,262191.000,40753,3,PI,1,100,162459
0.000000,0.000000,1726713970.248740,262231.000,40753,3,PI,1,100,162490
0.000000,0.000000,1726713970.288741,262271.000,40753,3,PI,1,100,162550
0.000000,0.000000,1726713970.328741,262311.000,40769,2,PI,1,100,162596
0.000000,0.000000,1726713970.368741,262351.000,40769,2,PI,1,100,162503
0.000000,0.000000,1726713970.408742,262391.000,40786,3,PI,1,100,162152
0.000000,0.000000,1726713970.448742,262431.000,40786,3,PI,1,100,161819
0.000000,0.000000,1726713970.488743,262471.000,40786,3,PI,1,100,161746
0.000000,0.000000,1726713970.528743,262511.000,40801,2,PI,1,100,161799
0.000000,0.000000,1726713970.568743,262551.000,40801,2,PI,1,100,161863
0.000000,0.000000,1726713970.608744,262591.000,40818,3,PI,1,100,161951
0.000000,0.000000,1726713970.648744,262631.000,40818,3,PI,1,100,161976
0.000000,0.000000,1726713970.688745,262671.000,40818,3,PI,1,100,161893
0.000000,0.000000,1726713970.728745,262711.000,40834,2,PI,1,100,161782
0.000000,0.000000,1726713970.768746,262751.000,40834,2,PI,1,100,161726
0.000000,0.000000,1726713970.808746,262791.000,40852,3,PI,1,100,161749
0.000000,0.000000,1726713970.848746,262831.000,40852,3,PI,1,100,161791
0.000000,0.000000,1726713970.888747,262871.000,40852,3,PI,1,100,161867
0.000000,0.000000,1726713970.928747,262911.000,40866,2,PI,1,100,161898
0.000000,0.000000,1726713970.968748,262951.000,40866,2,PI,1,100,161947
0.000000,0.000000,1726713971.008748,262991.000,40885,3,PI,1,100,161970
0.000000,0.000000,1726713971.048749,263031.000,40885,3,PI,1,100,161999
0.000000,0.000000,1726713971.088749,263071.000,40885,3,PI,1,100,162021
