LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.000000,0.000000,1726714113.595260,405576.000,64197,3,AZ,1,100,-0.330
0.000000,0.000000,1726714113.635260,405616.000,64213,2,AZ,1,100,-0.330
0.000000,0.000000,1726714113.675261,405656.000,64213,2,AZ,1,100,-0.331
0.000000,0.000000,1726714113.715261,405696.000,64228,3,AZ,1,100,-0.333
0.000000,0.000000,1726714113.755262,405736.000,64228,3,AZ,1,100,-0.335
0.000000,0.000000,1726714113.795262,405776.000,64228,3,AZ,1,100,-0.329
0.000000,0.000000,1726714113.835262,405816.000,64248,2,AZ,1,100,-0.334
0.000000,0.000000,1726714113.875263,405856.000,64248,2,AZ,1,100,-0.327
0.000000,0.000000,1726714113.915263,405896.000,64264,3,AZ,1,100,-0.329
0.000000,0.000000,1726714113.955264,405936.000,64264,3,AZ,1,100,-0.332
0.000000,0.000000,1726714113.995264,405976.000,64264,3,AZ,1,100,-0.333
0.000000,0.000000,1726714114.035264,406016.000,64281,2,AZ,1,100,-0.334
0.000000,0.000000,1726714114.075265,406056.000,64281,2,AZ,1,100,-0.333
0.000000,0.000000,1726714114.115265,406096.000,64298,3,AZ,1,100,-0.330
0.000000,0.000000,1726714114.155266,406136.000,64298,3,AZ,1,100,-0.332
0.000000,0.000000,1726714114.195266,406176.000,64298,3,AZ,1,100,-0.331
0.000000,0.000000,1726714114.235267,406216.000,64317,2,AZ,1,100,-0.331
0.000000,0.000000,1726714114.275267,406256.000,64317,2,AZ,1,100,-0.331
0.000000,0.000000,1726714114.315267,406296.000,64333,3,AZ,1,100,-0.332
0.000000,0.000000,1726714114.355268,406336.000,64333,3,AZ,1,100,-0.329
0.000000,0.000000,1726714114.395268,406376.000,64333,3,AZ,1,100,-0.335
0.000000,0.000000,1726714114.435269,406416.000,64351,2,AZ,1,100,-0.331
0.000000,0.000000,1726714114.475269,406456.000,64351,2,AZ,1,100,-0.337
0.000000,0.000000,1726714114.515270,406496.000,64365,3,AZ,1,100,-0.327
0.000000,0.000000,1726714114.555270,406536.000,64365,3,AZ,1,100,-0.335
0.000000,0.000000,1726714114.595270,406576.000,64365,3,AZ,1,100,-0.333
0.000000,0.000000,1726714114.635271,406616.000,64382,3,AZ,1,100,-0.335
0.000000,0.000000,1726714114.675271,406656.000,64382,3,AZ,1,100,-0.333
0.000000,0.000000,1726714114.715272,406696.000,64382,3,AZ,1,100,-0.332
0.000000,0.000000,1726714114.755272,406736.000,64398,2,AZ,1,100,-0.339
0.000000,0.000000,1726714114.795273,406776.000,64398,2,AZ,1,100,-0.331
0.000000,0.000000,1726714114.835273,406816.000,64418,3,AZ,1,100,-0.331
0.000000,0.000000,1726714114.875273,406856.000,64418,3,AZ,1,100,-0.333
0.000000,0.000000,1726714114.915274,406896.000,64418,3,AZ,1,100,-0.337
0.000000,0.000000,1726714114.955274,406936.000,64432,2,AZ,1,100,-0.334
0.000000,0.000000,1726714114.995275,406976.000,64432,2,AZ,1,100,-0.334
0.000000,0.000000,1726714115.035275,407016.000,64451,3,AZ,1,100,-0.331
0.000000,0.000000,1726714115.075275,407056.000,64451,3,AZ,1,100,-0.334
0.000000,0.000000,1726714115.115276,407096.000,64451,3,AZ,1,100,-0.337
0.000000,0.000000,1726714115.155276,407136.000,64468,2,AZ,1,100,-0.336
0.000000,0.000000,1726714115.195277,407176.000,64468,2,AZ,1,100,-0.332
0.000000,0.000000,1726714115.235277,407216.000,64485,3,AZ,1,100,-0.332
0.000000,0.000000,1726714115.275278,407256.000,64485,3,AZ,1,100,-0.334
0.000000,0.000000,1726714115.315278,407296.000,64485,3,AZ,1,100,-0.333
0.000000,0.000000,1726714115.355278,407336.000,64499,2,AZ,1,100,-0.339
0.000000,0.000000,1726714115.395279,407376.000,64499,2,AZ,1,100,-0.334
0.000000,0.000000,1726714115.435279,407416.000,64517,3,AZ,1,100,-0.333
