LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
0.000000,0.000000,1726714028.508358,320490.000,50245,1,SF,1,100,2.7646
0.000000,0.000000,1726714028.842361,320824.000,50293,1,SF,1,100,2.7326
0.000000,0.000000,1726714029.242366,321224.000,50362,1,SF,1,100,2.7010
0.000000,0.000000,1726714029.508368,321490.000,50413,1,SF,1,100,2.6697
0.000000,0.000000,1726714029.842372,321824.000,50461,1,SF,1,100,2.6389
0.000000,0.000000,1726714030.242376,322224.000,50528,1,SF,1,100,2.6083
0.000000,0.000000,1726714030.575380,322557.000,50584,1,SF,1,100,2.5782
0.000000,0.000000,1726714030.908383,322890.000,50634,1,SF,1,100,2.5483
0.000000,0.000000,1726714031.175386,323157.000,50685,1,SF,1,100,2.5189
0.000000,0.000000,1726714031.508390,323490.000,50735,1,SF,1,100,2.4897
0.000000,0.000000,1726714031.908394,323890.000,50800,1,SF,1,100,2.4609
0.000000,0.000000,1726714032.175397,324157.000,50853,1,SF,1,100,2.4324
0.000000,0.000000,1726714032.508400,324490.000,50903,1,SF,1,100,2.4043
0.000000,0.000000,1726714032.841404,324823.000,50952,1,SF,1,100,2.3765
0.000000,0.000000,1726714033.241408,325223.000,51017,1,SF,1,100,2.3490
0.000000,0.000000,1726714033.508411,325490.000,51069,1,SF,1,100,2.3218
0.000000,0.000000,1726714033.841414,325823.000,51118,1,SF,1,100,2.2950
0.000000,0.000000,1726714034.174418,326156.000,51166,1,SF,1,100,2.2684
0.000000,0.000000,1726714034.508421,326490.000,51219,1,SF,1,100,2.2422
0.000000,0.000000,1726714034.908426,326890.000,51284,1,SF,1,100,2.2162
0.000000,0.000000,1726714035.174428,327156.000,51332,1,SF,1,100,2.1906
0.000000,0.000000,1726714035.508432,327490.000,51383,1,SF,1,100,2.1653
0.000000,0.000000,1726714035.908436,327890.000,51437,1,SF,1,100,2.1402
0.000000,0.000000,1726714036.174439,328156.000,51487,1,SF,1,100,2.1155
0.000000,0.000000,1726714036.508443,328490.000,51538,1,SF,1,100,2.0910
0.000000,0.000000,1726714036.841446,328823.000,51588,1,SF,1,100,2.0668
0.000000,0.000000,1726714037.241450,329223.000,51653,1,SF,1,100,2.0429
0.000000,0.000000,1726714037.507453,329489.000,51706,1,SF,1,100,2.0193
0.000000,0.000000,1726714037.841457,329823.000,51756,1,SF,1,100,1.9959
0.000000,0.000000,1726714038.241461,330223.000,51821,1,SF,1,100,1.9728
0.000000,0.000000,1726714038.508464,330490.000,51872,1,SF,1,100,1.9500
0.000000,0.000000,1726714038.841467,330823.000,51923,1,SF,1,100,1.9274
0.000000,0.000000,1726714039.174471,331156.000,51973,1,SF,1,100,1.9051
0.000000,0.000000,1726714039.574475,331556.000,52042,1,SF,1,100,1.8831
0.000000,0.000000,1726714039.841478,331823.000,52090,1,SF,1,100,1.8613
0.000000,0.000000,1726714040.174481,332156.000,52139,1,SF,1,100,1.8398
0.000000,0.000000,1726714040.574486,332556.000,52204,1,SF,1,100,1.8185
0.000000,0.000000,1726714040.907489,332889.000,52263,1,SF,1,100,1.7975
0.000000,0.000000,1726714041.174492,333156.000,52312,1,SF,1,100,1.7767
0.000000,0.000000,1726714041.507496,333489.000,52362,1,SF,1,100,1.7561
0.000000,0.000000,1726714041.841499,333823.000,52413,1,SF,1,100,1.7358
0.000000,0.000000,1726714042.240503,334222.000,52478,1,SF,1,100,1.7157
0.000000,0.000000,1726714042.507506,334489.000,52526,1,SF,1,100,1.6959
0.000000,0.000000,1726714042.840510,334822.000,52575,1,SF,1,100,1.6763
0.000000,0.000000,1726714043.240514,335222.000,52643,1,SF,1,100,1.6569
0.000000,0.000000,1726714043.574517,335556.000,52692,1,SF,1,100,1.6377
0.000000,0.000000,1726714043.840520,335822.000,52741,1,SF,1,100,1.6188
0.000000,0.000000,1726714044.173524,336155.000,52791,1,SF,1,100,1.6000
0.000000,0.000000,1726714044.573528,336555.000,52860,1,SF,1,100,1.5815
0.000000,0.000000,1726714044.840531,336822.000,52911,1,SF,1,100,1.5632
0.000000,0.000000,1726714045.173534,337155.000,52961,1,SF,1,100,1.5451
0.000000,0.000000,1726714045.573539,337555.000,53028,1,SF,1,100,1.5273
0.000000,0.000000,1726714045.907542,337889.000,53082,1,SF,1,100,1.5096
0.000000,0.000000,1726714046.240546,338222.000,53134,1,SF,1,100,1.4921
0.000000,0.000000,1726714046.507549,338489.000,53185,1,SF,1,100,1.4749
0.000000,0.000000,1726714046.840552,338822.000,53234,1,SF,1,100,1.4578
