LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
0.000000,0.000000,1726713975.096791,267079.000,41537,4,EM,1,100,PS
0.000000,0.000000,1726713975.147042,267129.250,41571,4,EM,1,100,RS
0.000000,0.000000,1726713975.197293,267179.500,41571,4,EM,1,100,RB
0.000000,0.000000,1726713975.247543,267229.750,41571,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713975.297794,267280.000,41571,4,EM,1,100,PS
0.000000,0.000000,1726713975.348044,267330.250,41602,4,EM,1,100,RS
0.000000,0.000000,1726713975.398295,267380.500,41602,4,EM,1,100,RB
0.000000,0.000000,1726713975.448545,267430.750,41602,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713975.498796,267481.000,41602,4,EM,1,100,PS
0.000000,0.000000,1726713975.550046,267532.250,41638,4,EM,1,100,RS
0.000000,0.000000,1726713975.601297,267583.500,41638,4,EM,1,100,RB
0.000000,0.000000,1726713975.652547,267634.750,41638,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713975.703798,267686.000,41638,4,EM,1,100,PS
0.000000,0.000000,1726713975.754048,267736.250,41669,4,EM,1,100,RS
0.000000,0.000000,1726713975.804299,267786.500,41669,4,EM,1,100,RB
0.000000,0.000000,1726713975.854550,267836.750,41669,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713975.904800,267887.000,41669,4,EM,1,100,PS
0.000000,0.000000,1726713975.955551,267937.750,41703,4,EM,1,100,RS
0.000000,0.000000,1726713976.006301,267988.500,41703,4,EM,1,100,RB
0.000000,0.000000,1726713976.057052,268039.250,41703,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713976.107802,268090.000,41703,4,EM,1,100,PS
0.000000,0.000000,1726713976.157803,268140.000,41735,4,EM,1,100,RS
0.000000,0.000000,1726713976.207803,268190.000,41735,4,EM,1,100,RB
0.000000,0.000000,1726713976.257804,268240.000,41735,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713976.307804,268290.000,41735,4,EM,1,100,PS
0.000000,0.000000,1726713976.358055,268340.250,41770,4,EM,1,100,RS
0.000000,0.000000,1726713976.408305,268390.500,41770,4,EM,1,100,RB
0.000000,0.000000,1726713976.458556,268440.750,41770,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713976.508806,268491.000,41770,4,EM,1,100,PS
0.000000,0.000000,1726713976.559057,268541.250,41802,4,EM,1,100,RS
0.000000,0.000000,1726713976.609308,268591.500,41802,4,EM,1,100,RB
0.000000,0.000000,1726713976.659558,268641.750,41802,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713976.709809,268692.000,41802,4,EM,1,100,PS
0.000000,0.000000,1726713976.760059,268742.250,41835,4,EM,1,100,RS
0.000000,0.000000,1726713976.810310,268792.500,41835,4,EM,1,100,RB
0.000000,0.000000,1726713976.860560,268842.750,41835,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713976.910811,268893.000,41835,4,EM,1,100,PS
0.000000,0.000000,1726713976.961061,268943.250,41867,4,EM,1,100,RS
0.000000,0.000000,1726713977.011312,268993.500,41867,4,EM,1,100,RB
0.000000,0.000000,1726713977.061562,269043.750,41867,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713977.111813,269094.000,41867,4,EM,1,100,PS
0.000000,0.000000,1726713977.162563,269144.750,41901,4,EM,1,100,RS
0.000000,0.000000,1726713977.213314,269195.500,41901,4,EM,1,100,RB
0.000000,0.000000,1726713977.264064,269246.250,41901,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713977.314815,269297.000,41901,4,EM,1,100,PS
0.000000,0.000000,1726713977.365066,269347.250,41932,4,EM,1,100,RS
0.000000,0.000000,1726713977.415316,269397.500,41932,4,EM,1,100,RB
0.000000,0.000000,1726713977.465567,269447.750,41932,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713977.515817,269498.000,41932,4,EM,1,100,PS
0.000000,0.000000,1726713977.566068,269548.250,41966,4,EM,1,100,RS
0.000000,0.000000,1726713977.616318,269598.500,41966,4,EM,1,100,RB
0.000000,0.000000,1726713977.666569,269648.750,41966,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713977.716819,269699.000,41966,4,EM,1,100,PS
0.000000,0.000000,1726713977.767070,269749.250,42002,4,EM,1,100,RS
0.000000,0.000000,1726713977.817320,269799.500,42002,4,EM,1,100,RB
0.000000,0.000000,1726713977.867571,269849.750,42002,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713977.917821,269900.000,42002,4,EM,1,100,PS
0.000000,0.000000,1726713977.969322,269951.500,42033,4,EM,1,100,RS
0.000000,0.000000,1726713978.020822,270003.000,42033,4,EM,1,100,RB
0.000000,0.000000,1726713978.072323,270054.500,42033,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713978.123824,270106.000,42033,4,EM,1,100,PS
0.000000,0.000000,1726713978.174074,270156.250,42067,4,EM,1,100,RS
0.000000,0.000000,1726713978.224325,270206.500,42067,4,EM,1,100,RB
0.000000,0.000000,1726713978.274575,270256.750,42067,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713978.324826,270307.000,42067,4,EM,1,100,PS
0.000000,0.000000,1726713978.375576,270357.750,42098,4,EM,1,100,RS
0.000000,0.000000,1726713978.426327,270408.500,42098,4,EM,1,100,RB
0.000000,0.000000,1726713978.477077,270459.250,42098,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713978.527828,270510.000,42098,4,EM,1,100,PS
0.000000,0.000000,1726713978.578078,270560.250,42132,4,EM,1,100,RS
0.000000,0.000000,1726713978.628329,270610.500,42132,4,EM,1,100,RB
0.000000,0.000000,1726713978.678579,270660.750,42132,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713978.728830,270711.000,42132,4,EM,1,100,PS
0.000000,0.000000,1726713978.779081,270761.250,42164,4,EM,1,100,RS
0.000000,0.000000,1726713978.829331,270811.500,42164,4,EM,1,100,RB
0.000000,0.000000,1726713978.879582,270861.750,42164,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713978.929832,270912.000,42164,4,EM,1,100,PS
0.000000,0.000000,1726713978.980083,270962.250,42197,4,EM,1,100,RS
0.000000,0.000000,1726713979.030333,271012.500,42197,4,EM,1,100,RB
