LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
0.000000,0.000000,1726714132.193457,424174.000,1750,2,MX,1,100,-20
0.000000,0.000000,1726714132.233457,424214.000,1766,3,MX,1,100,-20
0.000000,0.000000,1726714132.273458,424254.000,1766,3,MX,1,100,-20
0.000000,0.000000,1726714132.313458,424294.000,1766,3,MX,1,100,-20
0.000000,0.000000,1726714132.353459,424334.000,1783,2,MX,1,100,-20
0.000000,0.000000,1726714132.393459,424374.000,1783,2,MX,1,100,-20
0.000000,0.000000,1726714132.433460,424414.000,1800,3,MX,1,100,-19
0.000000,0.000000,1726714132.473460,424454.000,1800,3,MX,1,100,-19
0.000000,0.000000,1726714132.513460,424494.000,1800,3,MX,1,100,-20
0.000000,0.000000,1726714132.553461,424534.000,1817,2,MX,1,100,-19
0.000000,0.000000,1726714132.593461,424574.000,1817,2,MX,1,100,-19
0.000000,0.000000,1726714132.633462,424614.000,1833,3,MX,1,100,-19
0.000000,0.000000,1726714132.673462,424654.000,1833,3,MX,1,100,-20
0.000000,0.000000,1726714132.713462,424694.000,1833,3,MX,1,100,-20
0.000000,0.000000,1726714132.753463,424734.000,1850,2,MX,1,100,-19
0.000000,0.000000,1726714132.793463,424774.000,1850,2,MX,1,100,-20
0.000000,0.000000,1726714132.833464,424814.000,1874,3,MX,1,100,-20
0.000000,0.000000,1726714132.873464,424854.000,1874,3,MX,1,100,-20
0.000000,0.000000,1726714132.913465,424894.000,1874,3,MX,1,100,-19
0.000000,0.000000,1726714132.953465,424934.000,1890,2,MX,1,100,-20
0.000000,0.000000,1726714132.993465,424974.000,1890,2,MX,1,100,-20
0.000000,0.000000,1726714133.033466,425014.000,1905,3,MX,1,100,-20
0.000000,0.000000,1726714133.073466,425054.000,1905,3,MX,1,100,-20
0.000000,0.000000,1726714133.113467,425094.000,1905,3,MX,1,100,-20
0.000000,0.000000,1726714133.153467,425134.000,1923,3,MX,1,100,-19
0.000000,0.000000,1726714133.193468,425174.000,1923,3,MX,1,100,-20
0.000000,0.000000,1726714133.233468,425214.000,1923,3,MX,1,100,-18
0.000000,0.000000,1726714133.273468,425254.000,1939,2,MX,1,100,-20
0.000000,0.000000,1726714133.313469,425294.000,1939,2,MX,1,100,-19
0.000000,0.000000,1726714133.353469,425334.000,1956,3,MX,1,100,-19
0.000000,0.000000,1726714133.393470,425374.000,1956,3,MX,1,100,-19
0.000000,0.000000,1726714133.433470,425414.000,1956,3,MX,1,100,-20
0.000000,0.000000,1726714133.473471,425454.000,1971,2,MX,1,100,-19
0.000000,0.000000,1726714133.513471,425494.000,1971,2,MX,1,100,-18
0.000000,0.000000,1726714133.553471,425534.000,1990,3,MX,1,100,-20
0.000000,0.000000,1726714133.593472,425574.000,1990,3,MX,1,100,-19
0.000000,0.000000,1726714133.633472,425614.000,1990,3,MX,1,100,-19
0.000000,0.000000,1726714133.673473,425654.000,2006,2,MX,1,100,-21
0.000000,0.000000,1726714133.713473,425694.000,2006,2,MX,1,100,-19
0.000000,0.000000,1726714133.753474,425734.000,2024,3,MX,1,100,-19
0.000000,0.000000,1726714133.793474,425774.000,2024,3,MX,1,100,-19
0.000000,0.000000,1726714133.833474,425814.000,2024,3,MX,1,100,-19
0.000000,0.000000,1726714133.873475,425854.000,2040,2,MX,1,100,-20
0.000000,0.000000,1726714133.913475,425894.000,2040,2,MX,1,100,-19
0.000000,0.000000,1726714133.953476,425934.000,2057,3,MX,1,100,-19
0.000000,0.000000,1726714133.993476,425974.000,2057,3,MX,1,100,-19
0.000000,0.000000,1726714134.033476,426014.000,2057,3,MX,1,100,-20
0.000000,0.000000,1726714134.073477,426054.000,2073,2,MX,1,100,-19
0.000000,0.000000,1726714134.113477,426094.000,2073,2,MX,1,100,-19
0.000000,0.000000,1726714134.153478,426134.000,2093,3,MX,1,100,-20
0.000000,0.000000,1726714134.193478,426174.000,2093,3,MX,1,100,-19
0.000000,0.000000,1726714134.233479,426214.000,2093,3,MX,1,100,-20
0.000000,0.000000,1726714134.273479,426254.000,2107,3,MX,1,100,-19
0.000000,0.000000,1726714134.313479,426294.000,2107,3,MX,1,100,-19
0.000000,0.000000,1726714134.353480,426334.000,2107,3,MX,1,100,-19
0.000000,0.000000,1726714134.393480,426374.000,2124,2,MX,1,100,-19
0.000000,0.000000,1726714134.433481,426414.000,2124,2,MX,1,100,-19
0.000000,0.000000,1726714134.473481,426454.000,2143,3,MX,1,100,-20
0.000000,0.000000,1726714134.513482,426494.000,2143,3,MX,1,100,-19
0.000000,0.000000,1726714134.553482,426534.000,2143,3,MX,1,100,-19
0.000000,0.000000,1726714134.593482,426574.000,2160,2,MX,1,100,-20
0.000000,0.000000,1726714134.633483,426614.000,2160,2,MX,1,100,-19
0.000000,0.000000,1726714134.673483,426654.000,2175,3,MX,1,100,-19
0.000000,0.000000,1726714134.713484,426694.000,2175,3,MX,1,100,-20
0.000000,0.000000,1726714134.753484,426734.000,2175,3,MX,1,100,-19
0.000000,0.000000,1726714134.793485,426774.000,2194,2,MX,1,100,-18
0.000000,0.000000,1726714134.833485,426814.000,2194,2,MX,1,100,-19
