EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1858053.000,36074,2,AZ,1,100,-0.386
1858093.000,36090,3,AZ,1,100,-0.387
1858133.000,36090,3,AZ,1,100,-0.388
1858173.000,36090,3,AZ,1,100,-0.388
1858213.000,36107,2,AZ,1,100,-0.387
1858253.000,36107,2,AZ,1,100,-0.389
1858292.667,36124,3,AZ,1,100,-0.387
1858332.333,36124,3,AZ,1,100,-0.386
1858372.000,36124,3,AZ,1,100,-0.385
1858412.000,36139,2,AZ,1,100,-0.386
1858452.000,36139,2,AZ,1,100,-0.388
1858492.000,36155,3,AZ,1,100,-0.387
1858532.000,36155,3,AZ,1,100,-0.387
1858572.000,36155,3,AZ,1,100,-0.388
1858612.000,36173,2,AZ,1,100,-0.385
1858652.000,36173,2,AZ,1,100,-0.385
1858692.000,36189,3,AZ,1,100,-0.387
1858732.000,36189,3,AZ,1,100,-0.386
1858772.000,36189,3,AZ,1,100,-0.390
1858812.000,36204,2,AZ,1,100,-0.387
1858852.000,36204,2,AZ,1,100,-0.385
1858892.000,36221,3,AZ,1,100,-0.387
1858932.000,36221,3,AZ,1,100,-0.387
1858972.000,36221,3,AZ,1,100,-0.390
1859012.000,36238,2,AZ,1,100,-0.383
1859052.000,36238,2,AZ,1,100,-0.386
1859092.000,36254,3,AZ,1,100,-0.391
1859132.000,36254,3,AZ,1,100,-0.383
1859172.000,36254,3,AZ,1,100,-0.387
1859212.000,36269,3,AZ,1,100,-0.391
1859252.000,36269,3,AZ,1,100,-0.385
1859292.000,36269,3,AZ,1,100,-0.389
1859332.000,36286,2,AZ,1,100,-0.383
1859372.000,36286,2,AZ,1,100,-0.388
1859412.000,36303,3,AZ,1,100,-0.391
1859452.000,36303,3,AZ,1,100,-0.384
1859492.000,36303,3,AZ,1,100,-0.387
1859532.000,36319,2,AZ,1,100,-0.388
1859572.000,36319,2,AZ,1,100,-0.389
1859612.000,36336,3,AZ,1,100,-0.391
1859652.000,36336,3,AZ,1,100,-0.385
1859692.000,36336,3,AZ,1,100,-0.382
1859732.000,36351,2,AZ,1,100,-0.391
1859772.000,36351,2,AZ,1,100,-0.388
1859812.000,36368,3,AZ,1,100,-0.383
1859852.000,36368,3,AZ,1,100,-0.387
1859892.000,36368,3,AZ,1,100,-0.389
1859932.000,36385,2,AZ,1,100,-0.390
1859972.000,36385,2,AZ,1,100,-0.386
1860012.000,36402,3,AZ,1,100,-0.383
1860052.000,36402,3,AZ,1,100,-0.388
1860092.000,36402,3,AZ,1,100,-0.389
1860132.000,36416,2,AZ,1,100,-0.387
1860172.000,36416,2,AZ,1,100,-0.385
1860212.000,36434,3,AZ,1,100,-0.385
1860252.000,36434,3,AZ,1,100,-0.388
1860292.000,36434,3,AZ,1,100,-0.388
1860332.000,36450,3,AZ,1,100,-0.385
1860372.000,36450,3,AZ,1,100,-0.385
1860412.000,36450,3,AZ,1,100,-0.389
1860452.000,36467,2,AZ,1,100,-0.387
1860492.000,36467,2,AZ,1,100,-0.386
1860532.000,36481,3,AZ,1,100,-0.389
1860572.000,36481,3,AZ,1,100,-0.388
1860612.000,36481,3,AZ,1,100,-0.388
1860652.000,36499,2,AZ,1,100,-0.383
1860692.000,36499,2,AZ,1,100,-0.387
1860732.000,36515,3,AZ,1,100,-0.390
1860772.000,36515,3,AZ,1,100,-0.384
1860812.000,36515,3,AZ,1,100,-0.385
1860852.000,36532,2,AZ,1,100,-0.387
1860892.000,36532,2,AZ,1,100,-0.388
1860932.000,36547,3,AZ,1,100,-0.388
1860972.000,36547,3,AZ,1,100,-0.384
1861012.000,36547,3,AZ,1,100,-0.386
1861052.000,36564,2,AZ,1,100,-0.390
1861092.000,36564,2,AZ,1,100,-0.388
1861132.000,36580,3,AZ,1,100,-0.387
1861172.000,36580,3,AZ,1,100,-0.384
1861212.000,36580,3,AZ,1,100,-0.389
1861252.000,36598,2,AZ,1,100,-0.388
1861292.000,36598,2,AZ,1,100,-0.386
1861332.000,36614,3,AZ,1,100,-0.385
1861372.000,36614,3,AZ,1,100,-0.385
1861412.000,36614,3,AZ,1,100,-0.389
1861452.000,36631,2,AZ,1,100,-0.388
1861492.000,36631,2,AZ,1,100,-0.387
1861532.000,36647,3,AZ,1,100,-0.389
1861572.000,36647,3,AZ,1,100,-0.388
1861612.000,36647,3,AZ,1,100,-0.387
1861652.000,36665,3,AZ,1,100,-0.386
1861692.000,36665,3,AZ,1,100,-0.387
1861732.000,36665,3,AZ,1,100,-0.389
1861772.000,36680,2,AZ,1,100,-0.385
1861812.000,36680,2,AZ,1,100,-0.387
1861852.000,36696,3,AZ,1,100,-0.389
1861892.000,36696,3,AZ,1,100,-0.388
1861932.000,36696,3,AZ,1,100,-0.386
1861972.000,36713,2,AZ,1,100,-0.388
1862012.000,36713,2,AZ,1,100,-0.386
1862052.000,36733,4,AZ,1,100,-0.387
1862092.000,36733,4,AZ,1,100,-0.385
1862132.000,36733,4,AZ,1,100,-0.386
1862172.000,36733,4,AZ,1,100,-0.388
1862212.000,36749,2,AZ,1,100,-0.388
1862252.000,36749,2,AZ,1,100,-0.386
1862292.000,36767,3,AZ,1,100,-0.386
1862332.000,36767,3,AZ,1,100,-0.388
1862372.000,36767,3,AZ,1,100,-0.388
1862412.000,36781,2,AZ,1,100,-0.385
