EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1849093.000,34638,3,GX,1,100,-8.270
1849133.000,34638,3,GX,1,100,1.709
1849173.000,34655,2,GX,1,100,17.822
1849213.000,34655,2,GX,1,100,43.518
1849253.000,34672,3,GX,1,100,46.570
1849293.000,34672,3,GX,1,100,77.698
1849333.000,34672,3,GX,1,100,125.366
1849373.000,34689,2,GX,1,100,93.597
1849413.000,34689,2,GX,1,100,78.583
1849453.000,34703,3,GX,1,100,62.042
1849493.000,34703,3,GX,1,100,80.750
1849533.000,34703,3,GX,1,100,5.035
1849573.000,34721,3,GX,1,100,-9.277
1849613.000,34721,3,GX,1,100,2.869
1849653.000,34721,3,GX,1,100,-1.831
1849693.000,34737,2,GX,1,100,0.916
1849733.000,34737,2,GX,1,100,9.155
1849773.000,34754,3,GX,1,100,17.914
1849813.000,34754,3,GX,1,100,6.836
1849853.000,34754,3,GX,1,100,7.843
1849893.000,34768,2,GX,1,100,1.007
1849933.000,34768,2,GX,1,100,5.646
1849973.000,34786,3,GX,1,100,1.770
1850013.000,34786,3,GX,1,100,-2.930
1850053.000,34786,3,GX,1,100,3.723
1850093.000,34802,2,GX,1,100,-18.494
1850133.000,34802,2,GX,1,100,-36.713
1850173.000,34819,3,GX,1,100,-37.720
1850213.000,34819,3,GX,1,100,-34.180
1850253.000,34819,3,GX,1,100,-28.900
1850293.000,34834,2,GX,1,100,-45.471
1850333.000,34834,2,GX,1,100,-72.418
1850373.000,34851,3,GX,1,100,-83.954
1850413.000,34851,3,GX,1,100,-89.417
1850453.000,34851,3,GX,1,100,-87.555
1850493.000,34867,2,GX,1,100,-48.096
1850533.000,34867,2,GX,1,100,-32.288
1850573.000,34885,3,GX,1,100,-31.372
1850613.000,34885,3,GX,1,100,-17.242
1850653.000,34885,3,GX,1,100,-3.235
1850693.000,34900,2,GX,1,100,20.020
1850733.000,34900,2,GX,1,100,99.426
1850773.000,34916,3,GX,1,100,52.460
1850813.000,34916,3,GX,1,100,-14.557
1850853.000,34916,3,GX,1,100,58.075
1850893.000,34933,3,GX,1,100,117.798
1850933.000,34933,3,GX,1,100,120.361
1850973.000,34933,3,GX,1,100,83.527
1851013.000,34950,2,GX,1,100,87.860
1851053.000,34950,2,GX,1,100,147.461
1851093.000,34966,3,GX,1,100,174.408
1851133.000,34966,3,GX,1,100,140.289
1851173.000,34966,3,GX,1,100,159.851
1851213.000,34981,2,GX,1,100,224.274
1851253.000,34981,2,GX,1,100,203.552
1851293.000,35000,3,GX,1,100,150.970
1851333.000,35000,3,GX,1,100,46.936
1851373.000,35000,3,GX,1,100,-29.327
1851413.000,35017,2,GX,1,100,-13.641
1851453.000,35017,2,GX,1,100,-10.101
1851493.000,35033,3,GX,1,100,-22.949
1851533.000,35033,3,GX,1,100,34.149
1851573.000,35033,3,GX,1,100,11.841
1851613.000,35049,2,GX,1,100,-5.554
1851653.000,35049,2,GX,1,100,-13.702
1851693.000,35065,3,GX,1,100,-10.742
1851733.000,35065,3,GX,1,100,24.139
1851773.000,35065,3,GX,1,100,77.454
1851813.000,35087,4,GX,1,100,13.245
1851853.000,35087,4,GX,1,100,-32.837
1851893.000,35087,4,GX,1,100,-10.406
1851933.000,35087,4,GX,1,100,-0.519
1851973.000,35104,2,GX,1,100,30.945
1852013.000,35104,2,GX,1,100,-0.031
1852053.000,35121,3,GX,1,100,-12.451
1852093.000,35121,3,GX,1,100,19.653
1852133.000,35121,3,GX,1,100,85.358
1852173.000,35136,2,GX,1,100,146.240
1852213.000,35136,2,GX,1,100,187.134
1852253.000,35153,3,GX,1,100,171.112
1852293.000,35153,3,GX,1,100,119.690
1852333.000,35153,3,GX,1,100,101.501
1852373.000,35169,2,GX,1,100,68.512
1852413.000,35169,2,GX,1,100,28.564
1852453.000,35186,3,GX,1,100,5.890
1852493.000,35186,3,GX,1,100,0.122
1852533.000,35186,3,GX,1,100,8.392
1852573.000,35203,2,GX,1,100,19.012
1852613.000,35203,2,GX,1,100,6.744
1852653.000,35218,3,GX,1,100,3.143
1852693.000,35218,3,GX,1,100,9.186
1852733.000,35218,3,GX,1,100,2.533
1852773.000,35234,2,GX,1,100,-6.989
1852813.000,35234,2,GX,1,100,-4.547
1852853.000,35251,3,GX,1,100,9.247
1852893.000,35251,3,GX,1,100,-0.183
1852933.000,35251,3,GX,1,100,-0.214
1852973.000,35268,2,GX,1,100,1.007
1853013.000,35268,2,GX,1,100,1.373
1853053.000,35283,3,GX,1,100,9.369
1853093.000,35283,3,GX,1,100,12.573
1853133.000,35283,3,GX,1,100,-0.793
1853173.000,35299,3,GX,1,100,-10.712
1853213.000,35299,3,GX,1,100,-57.556
1853253.000,35299,3,GX,1,100,-85.388
1853293.000,35317,2,GX,1,100,-14.984
1853333.000,35317,2,GX,1,100,8.698
1853373.000,35333,3,GX,1,100,14.374
1853413.000,35333,3,GX,1,100,34.546
1853453.000,35333,3,GX,1,100,9.918
1853493.000,35348,2,GX,1,100,0.336
1853533.000,35348,2,GX,1,100,7.477
1853573.000,35365,3,GX,1,100,5.829
1853613.000,35365,3,GX,1,100,-3.784
1853653.000,35365,3,GX,1,100,-0.122
1853693.000,35382,2,GX,1,100,1.160
