EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1848653.000,34570,3,AX,1,100,0.767
1848693.000,34570,3,AX,1,100,0.797
1848733.000,34570,3,AX,1,100,0.806
1848773.000,34587,2,AX,1,100,0.808
1848813.000,34587,2,AX,1,100,0.827
1848853.000,34603,3,AX,1,100,0.816
1848893.000,34603,3,AX,1,100,0.782
1848933.000,34603,3,AX,1,100,0.852
1848973.000,34621,2,AX,1,100,0.770
1849013.000,34621,2,AX,1,100,0.699
1849053.000,34635,3,AX,1,100,0.741
1849093.000,34635,3,AX,1,100,0.738
1849133.000,34635,3,AX,1,100,0.866
1849173.000,34652,2,AX,1,100,0.718
1849213.000,34652,2,AX,1,100,0.145
1849253.000,34669,3,AX,1,100,0.409
1849293.000,34669,3,AX,1,100,0.501
1849333.000,34669,3,AX,1,100,0.587
1849373.000,34686,2,AX,1,100,0.693
1849413.000,34686,2,AX,1,100,0.862
1849453.000,34700,3,AX,1,100,1.174
1849493.000,34700,3,AX,1,100,0.810
1849533.000,34700,3,AX,1,100,1.620
1849573.000,34718,3,AX,1,100,0.264
1849613.000,34718,3,AX,1,100,0.733
1849653.000,34718,3,AX,1,100,0.772
1849693.000,34734,2,AX,1,100,0.833
1849733.000,34734,2,AX,1,100,0.706
1849773.000,34751,3,AX,1,100,0.747
1849813.000,34751,3,AX,1,100,0.818
1849853.000,34751,3,AX,1,100,0.774
1849893.000,34765,2,AX,1,100,0.763
1849933.000,34765,2,AX,1,100,0.905
1849973.000,34783,3,AX,1,100,0.835
1850013.000,34783,3,AX,1,100,0.862
1850053.000,34783,3,AX,1,100,0.775
1850093.000,34799,2,AX,1,100,0.785
1850133.000,34799,2,AX,1,100,0.948
1850173.000,34816,3,AX,1,100,0.912
1850213.000,34816,3,AX,1,100,0.828
1850253.000,34816,3,AX,1,100,0.842
1850293.000,34831,2,AX,1,100,0.836
1850333.000,34831,2,AX,1,100,0.786
1850373.000,34848,3,AX,1,100,0.925
1850413.000,34848,3,AX,1,100,0.888
1850453.000,34848,3,AX,1,100,0.793
1850493.000,34864,2,AX,1,100,0.909
1850533.000,34864,2,AX,1,100,0.844
1850573.000,34882,3,AX,1,100,0.922
1850613.000,34882,3,AX,1,100,0.906
1850653.000,34882,3,AX,1,100,1.134
1850693.000,34897,2,AX,1,100,0.986
1850733.000,34897,2,AX,1,100,0.899
