EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1856173.000,35771,2,AY,1,100,-0.010
1856213.000,35787,3,AY,1,100,-0.006
1856253.000,35787,3,AY,1,100,-0.010
1856293.000,35787,3,AY,1,100,-0.018
1856333.000,35807,2,AY,1,100,-0.004
1856373.000,35807,2,AY,1,100,-0.003
1856413.000,35822,3,AY,1,100,-0.014
1856453.000,35822,3,AY,1,100,-0.010
1856493.000,35822,3,AY,1,100,-0.007
1856533.000,35838,2,AY,1,100,-0.006
1856573.000,35838,2,AY,1,100,-0.002
1856613.000,35855,3,AY,1,100,-0.016
1856653.000,35855,3,AY,1,100,-0.013
1856693.000,35855,3,AY,1,100,-0.001
1856733.000,35872,2,AY,1,100,-0.002
1856773.000,35872,2,AY,1,100,-0.017
1856813.000,35888,3,AY,1,100,-0.011
1856853.000,35888,3,AY,1,100,-0.001
1856893.000,35888,3,AY,1,100,-0.007
1856933.000,35911,4,AY,1,100,-0.010
1856973.000,35911,4,AY,1,100,-0.009
1857013.000,35911,4,AY,1,100,-0.008
1857053.000,35911,4,AY,1,100,-0.002
1857093.000,35925,2,AY,1,100,-0.009
1857133.000,35925,2,AY,1,100,-0.009
1857173.000,35942,3,AY,1,100,-0.005
1857213.000,35942,3,AY,1,100,-0.005
1857253.000,35942,3,AY,1,100,-0.007
1857293.000,35959,2,AY,1,100,-0.013
1857333.000,35959,2,AY,1,100,-0.010
1857373.000,35976,3,AY,1,100,-0.005
1857413.000,35976,3,AY,1,100,-0.007
1857453.000,35976,3,AY,1,100,-0.009
1857492.500,35991,2,AY,1,100,-0.009
1857532.000,35991,2,AY,1,100,-0.005
1857572.000,36008,3,AY,1,100,-0.009
1857612.000,36008,3,AY,1,100,-0.015
1857652.000,36008,3,AY,1,100,-0.006
1857692.333,36024,3,AY,1,100,-0.004
1857732.667,36024,3,AY,1,100,-0.009
1857773.000,36024,3,AY,1,100,-0.009
1857812.500,36041,2,AY,1,100,-0.008
1857852.000,36041,2,AY,1,100,-0.007
1857892.000,36058,3,AY,1,100,-0.007
1857932.000,36058,3,AY,1,100,-0.008
1857972.000,36058,3,AY,1,100,-0.010
1858012.500,36073,2,AY,1,100,-0.004
1858053.000,36073,2,AY,1,100,-0.008
1858093.000,36089,3,AY,1,100,-0.011
1858133.000,36089,3,AY,1,100,-0.008
1858173.000,36089,3,AY,1,100,-0.009
1858213.000,36106,2,AY,1,100,-0.009
1858253.000,36106,2,AY,1,100,-0.008
1858292.667,36123,3,AY,1,100,-0.010
1858332.333,36123,3,AY,1,100,-0.006
1858372.000,36123,3,AY,1,100,-0.007
1858412.000,36138,2,AY,1,100,-0.008
1858452.000,36138,2,AY,1,100,-0.010
1858492.000,36154,3,AY,1,100,-0.009
1858532.000,36154,3,AY,1,100,-0.007
1858572.000,36154,3,AY,1,100,-0.007
1858612.000,36172,2,AY,1,100,-0.009
1858652.000,36172,2,AY,1,100,-0.008
1858692.000,36188,3,AY,1,100,-0.006
1858732.000,36188,3,AY,1,100,-0.007
1858772.000,36188,3,AY,1,100,-0.007
1858812.000,36203,2,AY,1,100,-0.010
1858852.000,36203,2,AY,1,100,-0.007
1858892.000,36220,3,AY,1,100,-0.010
1858932.000,36220,3,AY,1,100,-0.012
1858972.000,36220,3,AY,1,100,-0.002
1859012.000,36237,2,AY,1,100,-0.008
1859052.000,36237,2,AY,1,100,-0.010
1859092.000,36253,3,AY,1,100,-0.005
1859132.000,36253,3,AY,1,100,-0.011
1859172.000,36253,3,AY,1,100,-0.005
1859212.000,36268,3,AY,1,100,-0.007
1859252.000,36268,3,AY,1,100,-0.014
1859292.000,36268,3,AY,1,100,-0.007
1859332.000,36285,2,AY,1,100,-0.006
1859372.000,36285,2,AY,1,100,-0.008
1859412.000,36302,3,AY,1,100,-0.009
1859452.000,36302,3,AY,1,100,-0.010
1859492.000,36302,3,AY,1,100,-0.004
1859532.000,36318,2,AY,1,100,-0.006
1859572.000,36318,2,AY,1,100,-0.013
1859612.000,36335,3,AY,1,100,-0.007
1859652.000,36335,3,AY,1,100,-0.008
