EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1856653.000,35862,3,MZ,1,100,-27
1856693.000,35862,3,MZ,1,100,-27
1856733.000,35879,2,MZ,1,100,-25
1856773.000,35879,2,MZ,1,100,-26
1856813.000,35895,3,MZ,1,100,-26
1856853.000,35895,3,MZ,1,100,-26
1856893.000,35895,3,MZ,1,100,-26
1856933.000,35918,4,MZ,1,100,-25
1856973.000,35918,4,MZ,1,100,-27
1857013.000,35918,4,MZ,1,100,-26
1857053.000,35918,4,MZ,1,100,-25
1857093.000,35932,2,MZ,1,100,-26
1857133.000,35932,2,MZ,1,100,-25
1857173.000,35949,3,MZ,1,100,-26
1857213.000,35949,3,MZ,1,100,-27
1857253.000,35949,3,MZ,1,100,-25
1857293.000,35966,2,MZ,1,100,-25
1857333.000,35966,2,MZ,1,100,-27
1857373.000,35983,3,MZ,1,100,-26
1857413.000,35983,3,MZ,1,100,-27
1857453.000,35983,3,MZ,1,100,-27
1857492.500,35998,2,MZ,1,100,-26
1857532.000,35998,2,MZ,1,100,-25
1857572.000,36015,3,MZ,1,100,-26
1857612.000,36015,3,MZ,1,100,-27
1857652.000,36015,3,MZ,1,100,-25
1857692.333,36031,3,MZ,1,100,-26
1857732.667,36031,3,MZ,1,100,-26
1857773.000,36031,3,MZ,1,100,-25
1857812.500,36048,2,MZ,1,100,-27
1857852.000,36048,2,MZ,1,100,-26
1857892.000,36065,3,MZ,1,100,-26
1857932.000,36065,3,MZ,1,100,-26
1857972.000,36065,3,MZ,1,100,-26
1858012.500,36080,2,MZ,1,100,-25
1858053.000,36080,2,MZ,1,100,-25
1858093.000,36096,3,MZ,1,100,-26
1858133.000,36096,3,MZ,1,100,-26
1858173.000,36096,3,MZ,1,100,-25
1858213.000,36113,2,MZ,1,100,-26
1858253.000,36113,2,MZ,1,100,-25
1858292.667,36130,3,MZ,1,100,-27
1858332.333,36130,3,MZ,1,100,-26
1858372.000,36130,3,MZ,1,100,-26
1858412.000,36145,2,MZ,1,100,-25
1858452.000,36145,2,MZ,1,100,-26
1858492.000,36161,3,MZ,1,100,-26
1858532.000,36161,3,MZ,1,100,-25
1858572.000,36161,3,MZ,1,100,-26
1858612.000,36179,2,MZ,1,100,-25
1858652.000,36179,2,MZ,1,100,-25
1858692.000,36195,3,MZ,1,100,-27
1858732.000,36195,3,MZ,1,100,-27
1858772.000,36195,3,MZ,1,100,-25
1858812.000,36210,2,MZ,1,100,-25
1858852.000,36210,2,MZ,1,100,-25
1858892.000,36227,3,MZ,1,100,-25
1858932.000,36227,3,MZ,1,100,-26
1858972.000,36227,3,MZ,1,100,-27
1859012.000,36244,2,MZ,1,100,-27
1859052.000,36244,2,MZ,1,100,-27
1859092.000,36260,3,MZ,1,100,-27
1859132.000,36260,3,MZ,1,100,-27
1859172.000,36260,3,MZ,1,100,-26
1859212.000,36275,3,MZ,1,100,-26
1859252.000,36275,3,MZ,1,100,-26
1859292.000,36275,3,MZ,1,100,-27
1859332.000,36292,2,MZ,1,100,-27
1859372.000,36292,2,MZ,1,100,-25
1859412.000,36309,3,MZ,1,100,-26
1859452.000,36309,3,MZ,1,100,-26
1859492.000,36309,3,MZ,1,100,-27
1859532.000,36325,2,MZ,1,100,-26
1859572.000,36325,2,MZ,1,100,-25
1859612.000,36342,3,MZ,1,100,-26
1859652.000,36342,3,MZ,1,100,-25
1859692.000,36342,3,MZ,1,100,-27
1859732.000,36357,2,MZ,1,100,-27
1859772.000,36357,2,MZ,1,100,-25
1859812.000,36374,3,MZ,1,100,-25
1859852.000,36374,3,MZ,1,100,-26
1859892.000,36374,3,MZ,1,100,-26
1859932.000,36391,2,MZ,1,100,-27
1859972.000,36391,2,MZ,1,100,-25
1860012.000,36408,3,MZ,1,100,-27
1860052.000,36408,3,MZ,1,100,-27
1860092.000,36408,3,MZ,1,100,-25
1860132.000,36422,2,MZ,1,100,-27
1860172.000,36422,2,MZ,1,100,-25
1860212.000,36440,3,MZ,1,100,-26
1860252.000,36440,3,MZ,1,100,-27
1860292.000,36440,3,MZ,1,100,-25
1860332.000,36456,3,MZ,1,100,-25
1860372.000,36456,3,MZ,1,100,-27
1860412.000,36456,3,MZ,1,100,-25
1860452.000,36473,2,MZ,1,100,-26
1860492.000,36473,2,MZ,1,100,-25
1860532.000,36487,3,MZ,1,100,-26
1860572.000,36487,3,MZ,1,100,-26
1860612.000,36487,3,MZ,1,100,-27
1860652.000,36505,2,MZ,1,100,-26
1860692.000,36505,2,MZ,1,100,-25
1860732.000,36521,3,MZ,1,100,-26
1860772.000,36521,3,MZ,1,100,-27
1860812.000,36521,3,MZ,1,100,-27
1860852.000,36538,2,MZ,1,100,-26
1860892.000,36538,2,MZ,1,100,-26
1860932.000,36553,3,MZ,1,100,-27
1860972.000,36553,3,MZ,1,100,-27
1861012.000,36553,3,MZ,1,100,-27
1861052.000,36570,2,MZ,1,100,-25
1861092.000,36570,2,MZ,1,100,-26
1861132.000,36586,3,MZ,1,100,-25
1861172.000,36586,3,MZ,1,100,-26
1861212.000,36586,3,MZ,1,100,-26
1861252.000,36604,2,MZ,1,100,-26
1861292.000,36604,2,MZ,1,100,-27
1861332.000,36620,3,MZ,1,100,-26
1861372.000,36620,3,MZ,1,100,-25
1861412.000,36620,3,MZ,1,100,-26
1861452.000,36637,2,MZ,1,100,-26
1861492.000,36637,2,MZ,1,100,-26
1861532.000,36653,3,MZ,1,100,-26
1861572.000,36653,3,MZ,1,100,-27
1861612.000,36653,3,MZ,1,100,-27
1861652.000,36671,3,MZ,1,100,-27
1861692.000,36671,3,MZ,1,100,-26
1861732.000,36671,3,MZ,1,100,-27
1861772.000,36686,2,MZ,1,100,-27
1861812.000,36686,2,MZ,1,100,-25
1861852.000,36702,3,MZ,1,100,-27
1861892.000,36702,3,MZ,1,100,-26
