EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1859692.000,36338,3,GY,1,100,0.977
1859732.000,36353,2,GY,1,100,1.099
1859772.000,36353,2,GY,1,100,1.068
1859812.000,36370,3,GY,1,100,1.038
1859852.000,36370,3,GY,1,100,1.068
1859892.000,36370,3,GY,1,100,1.068
1859932.000,36387,2,GY,1,100,1.038
1859972.000,36387,2,GY,1,100,1.068
1860012.000,36404,3,GY,1,100,1.007
1860052.000,36404,3,GY,1,100,1.068
1860092.000,36404,3,GY,1,100,1.068
1860132.000,36418,2,GY,1,100,1.007
1860172.000,36418,2,GY,1,100,1.038
1860212.000,36436,3,GY,1,100,1.068
1860252.000,36436,3,GY,1,100,1.068
1860292.000,36436,3,GY,1,100,1.099
1860332.000,36452,3,GY,1,100,1.038
1860372.000,36452,3,GY,1,100,1.038
1860412.000,36452,3,GY,1,100,1.068
1860452.000,36469,2,GY,1,100,1.038
1860492.000,36469,2,GY,1,100,1.038
1860532.000,36483,3,GY,1,100,1.038
1860572.000,36483,3,GY,1,100,1.038
1860612.000,36483,3,GY,1,100,1.038
1860652.000,36501,2,GY,1,100,1.038
1860692.000,36501,2,GY,1,100,1.068
1860732.000,36517,3,GY,1,100,1.038
1860772.000,36517,3,GY,1,100,1.007
1860812.000,36517,3,GY,1,100,1.038
1860852.000,36534,2,GY,1,100,1.068
1860892.000,36534,2,GY,1,100,1.068
1860932.000,36549,3,GY,1,100,1.038
1860972.000,36549,3,GY,1,100,1.007
1861012.000,36549,3,GY,1,100,1.038
1861052.000,36566,2,GY,1,100,1.038
1861092.000,36566,2,GY,1,100,1.038
1861132.000,36582,3,GY,1,100,1.007
1861172.000,36582,3,GY,1,100,1.038
1861212.000,36582,3,GY,1,100,1.038
1861252.000,36600,2,GY,1,100,1.038
1861292.000,36600,2,GY,1,100,1.068
1861332.000,36616,3,GY,1,100,1.038
1861372.000,36616,3,GY,1,100,1.007
1861412.000,36616,3,GY,1,100,1.068
1861452.000,36633,2,GY,1,100,1.038
1861492.000,36633,2,GY,1,100,1.038
1861532.000,36649,3,GY,1,100,1.038
1861572.000,36649,3,GY,1,100,1.068
1861612.000,36649,3,GY,1,100,1.068
1861652.000,36667,3,GY,1,100,1.007
1861692.000,36667,3,GY,1,100,1.038
1861732.000,36667,3,GY,1,100,1.068
1861772.000,36682,2,GY,1,100,1.068
1861812.000,36682,2,GY,1,100,1.007
1861852.000,36698,3,GY,1,100,1.038
1861892.000,36698,3,GY,1,100,1.007
1861932.000,36698,3,GY,1,100,1.007
1861972.000,36715,2,GY,1,100,1.068
1862012.000,36715,2,GY,1,100,1.038
1862052.000,36735,4,GY,1,100,1.068
1862092.000,36735,4,GY,1,100,1.068
1862132.000,36735,4,GY,1,100,1.007
1862172.000,36735,4,GY,1,100,1.038
1862212.000,36751,2,GY,1,100,1.038
1862252.000,36751,2,GY,1,100,1.038
1862292.000,36769,3,GY,1,100,1.007
1862332.000,36769,3,GY,1,100,1.068
1862372.000,36769,3,GY,1,100,1.068
1862412.000,36783,2,GY,1,100,1.007
1862452.000,36783,2,GY,1,100,1.038
1862492.000,36800,3,GY,1,100,1.068
1862532.000,36800,3,GY,1,100,1.099
1862572.000,36800,3,GY,1,100,0.977
1862612.000,36817,2,GY,1,100,1.038
1862652.000,36817,2,GY,1,100,1.068
1862692.000,36834,3,GY,1,100,1.007
1862732.000,36834,3,GY,1,100,1.007
1862772.000,36834,3,GY,1,100,1.038
1862812.000,36848,2,GY,1,100,1.099
1862852.000,36848,2,GY,1,100,1.099
1862892.000,36866,3,GY,1,100,1.038
1862932.000,36866,3,GY,1,100,1.007
1862972.000,36866,3,GY,1,100,1.068
1863012.000,36882,3,GY,1,100,1.038
1863052.000,36882,3,GY,1,100,1.038
1863092.000,36882,3,GY,1,100,1.007
1863132.000,36899,2,GY,1,100,1.007
1863172.000,36899,2,GY,1,100,1.068
1863212.000,36913,3,GY,1,100,1.068
1863252.000,36913,3,GY,1,100,1.038
1863292.000,36913,3,GY,1,100,1.068
1863332.000,36931,2,GY,1,100,1.038
1863372.000,36931,2,GY,1,100,1.038
1863412.000,36947,3,GY,1,100,1.038
1863452.000,36947,3,GY,1,100,1.068
1863492.000,36947,3,GY,1,100,1.068
1863532.000,36964,2,GY,1,100,1.038
1863572.000,36964,2,GY,1,100,1.038
1863612.000,36980,3,GY,1,100,1.038
1863652.000,36980,3,GY,1,100,1.068
1863692.000,36980,3,GY,1,100,1.007
1863732.000,36996,2,GY,1,100,1.038
1863772.000,36996,2,GY,1,100,1.038
1863812.000,37012,3,GY,1,100,1.007
1863852.000,37012,3,GY,1,100,1.068
1863892.000,37012,3,GY,1,100,1.038
1863932.000,37030,2,GY,1,100,1.068
1863972.000,37030,2,GY,1,100,1.068
1864012.000,37046,3,GY,1,100,1.007
1864052.000,37046,3,GY,1,100,1.038
1864092.000,37046,3,GY,1,100,1.038
1864132.000,37061,2,GY,1,100,1.068
1864172.000,37061,2,GY,1,100,1.068
1864212.000,37078,3,GY,1,100,1.068
1864252.000,37078,3,GY,1,100,1.038
1864292.000,37078,3,GY,1,100,1.068
1864332.000,37095,3,GY,1,100,1.068
