EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1851231.000,34972,4,EM,1,100,PS
1851281.500,35006,4,EM,1,100,RS
1851332.000,35006,4,EM,1,100,RB
1851382.500,35006,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1851433.000,35006,4,EM,1,100,PS
1851483.250,35039,4,EM,1,100,RS
1851533.500,35039,4,EM,1,100,RB
1851583.750,35039,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1851634.000,35039,4,EM,1,100,PS
1851708.000,35076,4,EM,1,100,RS
1851782.000,35076,4,EM,1,100,RB
1851856.000,35076,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1851930.000,35076,4,EM,1,100,PS
1851980.250,35110,4,EM,1,100,RS
1852030.500,35110,4,EM,1,100,RB
1852080.750,35110,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1852131.000,35110,4,EM,1,100,PS
1852181.750,35142,4,EM,1,100,RS
1852232.500,35142,4,EM,1,100,RB
1852283.250,35142,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1852334.000,35142,4,EM,1,100,PS
1852384.250,35175,4,EM,1,100,RS
1852434.500,35175,4,EM,1,100,RB
1852484.750,35175,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1852535.000,35175,4,EM,1,100,PS
1852585.250,35209,4,EM,1,100,RS
1852635.500,35209,4,EM,1,100,RB
1852685.750,35209,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1852736.000,35209,4,EM,1,100,PS
1852786.250,35240,4,EM,1,100,RS
1852836.500,35240,4,EM,1,100,RB
1852886.750,35240,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1852937.000,35240,4,EM,1,100,PS
1852987.250,35274,4,EM,1,100,RS
1853037.500,35274,4,EM,1,100,RB
1853087.750,35274,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1853138.000,35274,4,EM,1,100,PS
1853188.250,35305,4,EM,1,100,RS
1853238.500,35305,4,EM,1,100,RB
1853288.750,35305,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1853339.000,35305,4,EM,1,100,PS
1853389.250,35339,4,EM,1,100,RS
1853439.500,35339,4,EM,1,100,RB
1853489.750,35339,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1853540.000,35339,4,EM,1,100,PS
1853590.250,35371,4,EM,1,100,RS
1853640.500,35371,4,EM,1,100,RB
1853690.750,35371,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1853741.000,35371,4,EM,1,100,PS
1853791.250,35404,4,EM,1,100,RS
1853841.500,35404,4,EM,1,100,RB
1853891.750,35404,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1853942.000,35404,4,EM,1,100,PS
1853992.250,35436,4,EM,1,100,RS
1854042.500,35436,4,EM,1,100,RB
1854092.750,35436,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1854143.000,35436,4,EM,1,100,PS
1854193.250,35469,4,EM,1,100,RS
1854243.500,35469,4,EM,1,100,RB
1854293.750,35469,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1854344.000,35469,4,EM,1,100,PS
1854394.750,35501,4,EM,1,100,RS
1854445.500,35501,4,EM,1,100,RB
1854496.250,35501,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1854547.000,35501,4,EM,1,100,PS
1854597.250,35535,4,EM,1,100,RS
1854647.500,35535,4,EM,1,100,RB
1854697.750,35535,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1854748.000,35535,4,EM,1,100,PS
1854798.250,35566,4,EM,1,100,RS
1854848.500,35566,4,EM,1,100,RB
1854898.750,35566,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1854949.000,35566,4,EM,1,100,PS
1854999.250,35600,4,EM,1,100,RS
1855049.500,35600,4,EM,1,100,RB
1855099.750,35600,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1855150.000,35600,4,EM,1,100,PS
1855200.250,35631,4,EM,1,100,RS
1855250.500,35631,4,EM,1,100,RB
1855300.750,35631,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1855351.000,35631,4,EM,1,100,PS
1855401.250,35665,4,EM,1,100,RS
1855451.500,35665,4,EM,1,100,RB
1855501.750,35665,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1855552.000,35665,4,EM,1,100,PS
1855602.250,35697,4,EM,1,100,RS
1855652.500,35697,4,EM,1,100,RB
1855702.750,35697,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1855753.000,35697,4,EM,1,100,PS
1855803.250,35730,4,EM,1,100,RS
1855853.500,35730,4,EM,1,100,RB
1855903.750,35730,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1855954.000,35730,4,EM,1,100,PS
1856004.250,35762,4,EM,1,100,RS
1856054.500,35762,4,EM,1,100,RB
1856104.750,35762,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1856155.000,35762,4,EM,1,100,PS
1856205.250,35797,4,EM,1,100,RS
1856255.500,35797,4,EM,1,100,RB
1856305.750,35797,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1856356.000,35797,4,EM,1,100,PS
1856406.250,35830,4,EM,1,100,RS
1856456.500,35830,4,EM,1,100,RB
1856506.750,35830,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1856557.000,35830,4,EM,1,100,PS
1856608.000,35863,4,EM,1,100,RS
1856659.000,35863,4,EM,1,100,RB
1856710.000,35863,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1856761.000,35863,4,EM,1,100,PS
1856834.500,35901,4,EM,1,100,RS
1856908.000,35901,4,EM,1,100,RB
1856981.500,35901,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1857055.000,35901,4,EM,1,100,PS
1857105.250,35933,4,EM,1,100,RS
1857155.500,35933,4,EM,1,100,RB
1857205.750,35933,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1857256.000,35933,4,EM,1,100,PS
1857306.250,35967,4,EM,1,100,RS
1857356.500,35967,4,EM,1,100,RB
1857406.750,35967,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1857457.000,35967,4,EM,1,100,PS
1857507.250,35999,4,EM,1,100,RS
1857557.500,35999,4,EM,1,100,RB
1857607.750,35999,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1857658.000,35999,4,EM,1,100,PS
1857708.250,36032,4,EM,1,100,RS
1857758.500,36032,4,EM,1,100,RB
1857808.750,36032,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1857859.000,36032,4,EM,1,100,PS
1857909.250,36066,4,EM,1,100,RS
1857959.500,36066,4,EM,1,100,RB
1858009.750,36066,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1858060.000,36066,4,EM,1,100,PS
1858110.250,36097,4,EM,1,100,RS
1858160.500,36097,4,EM,1,100,RB
1858210.750,36097,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1858261.000,36097,4,EM,1,100,PS
1858311.250,36131,4,EM,1,100,RS
1858361.500,36131,4,EM,1,100,RB
