EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1853560.000,35355,3,PI,1,100,1891
1853600.000,35355,3,PI,1,100,1872
1853640.000,35355,3,PI,1,100,1881
1853680.000,35372,3,PI,1,100,1863
1853720.000,35372,3,PI,1,100,1847
1853760.000,35372,3,PI,1,100,1857
1853800.000,35388,2,PI,1,100,1848
1853840.000,35388,2,PI,1,100,1844
1853880.000,35405,3,PI,1,100,1830
1853920.000,35405,3,PI,1,100,1846
1853960.000,35405,3,PI,1,100,1839
1854000.000,35420,2,PI,1,100,1846
1854040.000,35420,2,PI,1,100,1847
1854080.000,35437,3,PI,1,100,1842
1854120.000,35437,3,PI,1,100,1836
1854160.000,35437,3,PI,1,100,1837
1854200.000,35453,2,PI,1,100,1851
1854240.000,35453,2,PI,1,100,1849
1854280.000,35471,3,PI,1,100,1837
1854320.000,35471,3,PI,1,100,1841
1854360.000,35471,3,PI,1,100,1851
1854400.000,35486,2,PI,1,100,1865
1854440.000,35486,2,PI,1,100,1881
1854480.000,35502,3,PI,1,100,1887
1854520.000,35502,3,PI,1,100,1882
1854560.000,35502,3,PI,1,100,1890
1854600.000,35519,2,PI,1,100,1889
1854640.000,35519,2,PI,1,100,1894
1854680.000,35536,3,PI,1,100,1898
1854720.000,35536,3,PI,1,100,1902
1854760.000,35536,3,PI,1,100,1889
1854800.000,35552,2,PI,1,100,1895
1854840.000,35552,2,PI,1,100,1933
1854880.000,35568,3,PI,1,100,1945
1854920.000,35568,3,PI,1,100,1955
1854960.000,35568,3,PI,1,100,1938
1855000.000,35584,2,PI,1,100,1917
1855040.000,35584,2,PI,1,100,1907
1855080.000,35601,3,PI,1,100,1906
1855120.000,35601,3,PI,1,100,1896
1855160.000,35601,3,PI,1,100,1896
1855200.000,35617,3,PI,1,100,1894
1855240.000,35617,3,PI,1,100,1897
1855280.000,35617,3,PI,1,100,1891
1855320.000,35633,2,PI,1,100,1884
1855360.000,35633,2,PI,1,100,1890
1855400.000,35649,3,PI,1,100,1884
1855440.000,35649,3,PI,1,100,1878
1855480.000,35649,3,PI,1,100,1878
1855520.000,35666,2,PI,1,100,1881
1855560.000,35666,2,PI,1,100,1870
1855600.000,35683,3,PI,1,100,1871
1855640.000,35683,3,PI,1,100,1863
1855680.000,35683,3,PI,1,100,1859
1855720.000,35698,2,PI,1,100,1863
1855760.000,35698,2,PI,1,100,1862
1855800.000,35714,3,PI,1,100,1873
1855840.000,35714,3,PI,1,100,1856
1855880.000,35714,3,PI,1,100,1859
1855920.000,35732,2,PI,1,100,1872
1855960.000,35732,2,PI,1,100,1868
1856000.000,35748,3,PI,1,100,1857
1856040.000,35748,3,PI,1,100,1858
1856080.000,35748,3,PI,1,100,1857
1856120.000,35763,2,PI,1,100,1868
1856160.000,35763,2,PI,1,100,1872
1856200.000,35779,3,PI,1,100,1870
1856240.000,35779,3,PI,1,100,1858
1856280.000,35779,3,PI,1,100,1862
1856320.000,35799,2,PI,1,100,1867
1856360.000,35799,2,PI,1,100,1866
1856400.000,35815,3,PI,1,100,1871
1856440.000,35815,3,PI,1,100,1863
1856480.000,35815,3,PI,1,100,1871
1856520.000,35831,3,PI,1,100,1863
1856560.000,35831,3,PI,1,100,1863
1856600.000,35831,3,PI,1,100,1872
1856640.000,35847,2,PI,1,100,1869
1856680.000,35847,2,PI,1,100,1862
1856720.000,35864,3,PI,1,100,1857
1856760.000,35864,3,PI,1,100,1860
1856800.000,35864,3,PI,1,100,1864
1856840.000,35880,2,PI,1,100,1865
1856880.000,35880,2,PI,1,100,1862
1856920.000,35903,4,PI,1,100,1868
1856960.000,35903,4,PI,1,100,1860
1857000.000,35903,4,PI,1,100,1869
1857040.000,35903,4,PI,1,100,1870
1857080.000,35919,3,PI,1,100,1873
1857120.000,35919,3,PI,1,100,1876
1857160.000,35919,3,PI,1,100,1863
1857200.000,35934,2,PI,1,100,1873
1857240.000,35934,2,PI,1,100,1864
1857280.000,35951,3,PI,1,100,1861
1857320.000,35951,3,PI,1,100,1873
1857360.000,35951,3,PI,1,100,1876
1857400.000,35968,2,PI,1,100,1868
1857440.000,35968,2,PI,1,100,1873
1857480.000,35984,3,PI,1,100,1872
1857520.000,35984,3,PI,1,100,1868
1857560.000,35984,3,PI,1,100,1866
1857600.000,36001,2,PI,1,100,1866
1857640.000,36001,2,PI,1,100,1872
1857680.000,36016,3,PI,1,100,1864
1857720.000,36016,3,PI,1,100,1861
1857760.000,36016,3,PI,1,100,1866
1857800.000,36033,2,PI,1,100,1864
1857840.000,36033,2,PI,1,100,1869
1857880.000,36050,3,PI,1,100,1861
1857920.000,36050,3,PI,1,100,1873
1857960.000,36050,3,PI,1,100,1864
1858000.000,36067,2,PI,1,100,1860
1858040.000,36067,2,PI,1,100,1853
1858080.000,36081,3,PI,1,100,1856
1858120.000,36081,3,PI,1,100,1857
1858160.000,36081,3,PI,1,100,1859
1858200.000,36098,2,PI,1,100,1852
1858240.000,36098,2,PI,1,100,1845
1858280.000,36115,3,PI,1,100,1849
1858320.000,36115,3,PI,1,100,1846
1858360.000,36115,3,PI,1,100,1867
1858400.000,36132,3,PI,1,100,1859
1858440.000,36132,3,PI,1,100,1869
1858480.000,36132,3,PI,1,100,1857
1858520.000,36146,2,PI,1,100,1863
1858560.000,36146,2,PI,1,100,1871
1858600.000,36164,3,PI,1,100,1868
1858640.000,36164,3,PI,1,100,1875
1858680.000,36164,3,PI,1,100,1871
1858720.000,36180,2,PI,1,100,1868
1858760.000,36180,2,PI,1,100,1878
1858800.000,36197,3,PI,1,100,1865
1858840.000,36197,3,PI,1,100,1872
