EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1873170.500,38478,2,EL,1,100,26446.000000
1873237.000,38478,2,EL,1,100,26446.000000
1873304.000,38496,1,EL,1,100,26446.000000
1873370.500,38512,2,EL,1,100,26446.000000
1873437.000,38512,2,EL,1,100,26446.000000
1873504.000,38529,1,EL,1,100,26446.000000
1873570.500,38544,2,EL,1,100,26446.000000
1873637.000,38544,2,EL,1,100,26446.000000
1873704.000,38561,1,EL,1,100,26446.000000
1873770.500,38577,2,EL,1,100,26446.000000
1873837.000,38577,2,EL,1,100,26446.199219
1873904.000,38594,1,EL,1,100,26446.199219
1873970.500,38609,2,EL,1,100,26446.199219
1874037.000,38609,2,EL,1,100,26446.599609
1874103.000,38626,1,EL,1,100,26446.599609
1874170.000,38642,2,EL,1,100,26446.599609
1874237.000,38642,2,EL,1,100,26446.800781
1874304.000,38660,1,EL,1,100,26446.599609
1874370.500,38674,2,EL,1,100,26446.599609
1874437.000,38674,2,EL,1,100,26447.000000
1874503.000,38691,1,EL,1,100,26446.800781
1874570.000,38708,2,EL,1,100,26446.800781
1874637.000,38708,2,EL,1,100,26446.199219
1874703.000,38725,1,EL,1,100,26446.400391
1874770.000,38739,2,EL,1,100,26446.800781
1874837.000,38739,2,EL,1,100,26446.400391
1874903.000,38756,1,EL,1,100,26446.400391
1874970.000,38773,2,EL,1,100,26446.400391
1875037.000,38773,2,EL,1,100,26446.400391
1875104.000,38790,1,EL,1,100,26446.599609
1875170.500,38805,2,EL,1,100,26446.400391
1875237.000,38805,2,EL,1,100,26446.000000
1875303.500,38822,2,EL,1,100,26446.000000
1875370.000,38822,2,EL,1,100,26446.000000
1875437.000,38838,1,EL,1,100,26446.400391
1875503.500,38855,2,EL,1,100,26446.199219
1875570.000,38855,2,EL,1,100,26446.000000
1875637.000,38872,1,EL,1,100,26446.000000
1875703.500,38888,2,EL,1,100,26446.000000
1875770.000,38888,2,EL,1,100,26446.000000
1875837.000,38903,1,EL,1,100,26446.000000
1875903.500,38921,2,EL,1,100,26446.000000
1875970.000,38921,2,EL,1,100,26446.000000
1876036.500,38937,2,EL,1,100,26446.000000
1876103.000,38937,2,EL,1,100,26446.000000
1876170.000,38954,1,EL,1,100,26446.000000
1876236.500,38969,2,EL,1,100,26446.000000
