EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1856780.000,35870,1,TH,1,100,23.556
1856913.000,35886,1,TH,1,100,23.493
1857047.000,35909,1,TH,1,100,23.493
1857180.000,35940,1,TH,1,100,23.524
1857313.000,35957,1,TH,1,100,23.524
1857447.000,35974,1,TH,1,100,23.467
1857580.000,36006,1,TH,1,100,23.467
1857713.000,36022,1,TH,1,100,23.446
1857847.000,36039,1,TH,1,100,23.438
1857980.000,36056,1,TH,1,100,23.344
1858113.000,36087,1,TH,1,100,23.344
1858246.000,36104,1,TH,1,100,23.391
1858380.000,36121,1,TH,1,100,23.391
1858513.000,36152,1,TH,1,100,23.433
1858646.000,36170,1,TH,1,100,23.433
1858780.000,36186,1,TH,1,100,23.457
1858913.000,36218,1,TH,1,100,23.464
1859046.000,36235,1,TH,1,100,23.388
1859180.000,36251,1,TH,1,100,23.388
1859313.000,36283,1,TH,1,100,23.364
1859446.000,36300,1,TH,1,100,23.364
1859580.000,36316,1,TH,1,100,23.351
1859713.000,36348,1,TH,1,100,23.351
1859846.000,36365,1,TH,1,100,23.391
1859980.000,36382,1,TH,1,100,23.391
1860113.000,36399,1,TH,1,100,23.453
1860247.000,36431,1,TH,1,100,23.453
1860380.000,36447,1,TH,1,100,23.359
1860513.000,36464,1,TH,1,100,23.359
1860646.000,36496,1,TH,1,100,23.343
1860780.000,36512,1,TH,1,100,23.343
1860913.000,36529,1,TH,1,100,23.377
1861046.000,36561,1,TH,1,100,23.378
1861180.000,36577,1,TH,1,100,23.325
1861313.000,36595,1,TH,1,100,23.325
1861446.000,36628,1,TH,1,100,23.322
1861580.000,36644,1,TH,1,100,23.322
1861713.000,36662,1,TH,1,100,23.320
1861846.000,36693,1,TH,1,100,23.320
1861979.000,36710,1,TH,1,100,23.291
1862113.000,36730,1,TH,1,100,23.291
1862246.000,36746,1,TH,1,100,23.335
1862380.000,36764,1,TH,1,100,23.335
1862513.000,36795,1,TH,1,100,23.294
1862646.000,36812,1,TH,1,100,23.294
1862779.000,36829,1,TH,1,100,23.348
1862913.000,36861,1,TH,1,100,23.349
1863046.000,36877,1,TH,1,100,23.260
1863179.000,36894,1,TH,1,100,23.259
1863313.000,36926,1,TH,1,100,23.259
1863446.000,36942,1,TH,1,100,23.267
1863579.000,36959,1,TH,1,100,23.259
1863713.000,36991,1,TH,1,100,23.251
1863846.000,37007,1,TH,1,100,23.254
