LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
0.000000,0.000000,1726701773.216686,425994.000,1680,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.283687,426061.000,1696,1,EL,1,100,-18302.800781
0.000000,0.000000,1726701773.350188,426127.500,1716,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.416689,426194.000,1716,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.483689,426261.000,1732,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.550190,426327.500,1747,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.616691,426394.000,1747,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.683692,426461.000,1764,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.750193,426527.500,1781,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.816694,426594.000,1781,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.883695,426661.000,1799,1,EL,1,100,-18302.800781
0.000000,0.000000,1726701773.950196,426727.500,1815,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701774.016697,426794.000,1815,2,EL,1,100,-18302.599609
0.000000,0.000000,1726701774.083698,426861.000,1831,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701774.150199,426927.500,1848,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701774.216700,426994.000,1848,2,EL,1,100,-18303.400391
0.000000,0.000000,1726701774.283701,427061.000,1864,1,EL,1,100,-18303.400391
0.000000,0.000000,1726701774.350202,427127.500,1880,2,EL,1,100,-18303.599609
0.000000,0.000000,1726701774.416703,427194.000,1880,2,EL,1,100,-18303.400391
0.000000,0.000000,1726701774.483704,427261.000,1896,1,EL,1,100,-18304.000000
0.000000,0.000000,1726701774.550204,427327.500,1913,2,EL,1,100,-18304.000000
0.000000,0.000000,1726701774.616705,427394.000,1913,2,EL,1,100,-18304.199219
0.000000,0.000000,1726701774.683706,427461.000,1930,1,EL,1,100,-18303.800781
0.000000,0.000000,1726701774.750207,427527.500,1946,2,EL,1,100,-18304.599609
0.000000,0.000000,1726701774.816708,427594.000,1946,2,EL,1,100,-18304.400391
0.000000,0.000000,1726701774.883209,427660.500,1961,2,EL,1,100,-18304.800781
0.000000,0.000000,1726701774.949710,427727.000,1961,2,EL,1,100,-18304.800781
0.000000,0.000000,1726701775.016711,427794.000,1979,1,EL,1,100,-18305.000000
0.000000,0.000000,1726701775.083212,427860.500,1995,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701775.149713,427927.000,1995,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701775.216714,427994.000,2012,1,EL,1,100,-18305.199219
0.000000,0.000000,1726701775.283215,428060.500,2029,2,EL,1,100,-18305.199219
0.000000,0.000000,1726701775.349716,428127.000,2029,2,EL,1,100,-18305.000000
0.000000,0.000000,1726701775.416717,428194.000,2046,1,EL,1,100,-18305.400391
0.000000,0.000000,1726701775.483218,428260.500,2062,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701775.549719,428327.000,2062,2,EL,1,100,-18305.800781
0.000000,0.000000,1726701775.616720,428394.000,2079,1,EL,1,100,-18305.800781
0.000000,0.000000,1726701775.683220,428460.500,2094,2,EL,1,100,-18306.000000
