LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.000000,0.000000,1726702058.678712,711452.000,48116,1,EA,1,100,1.507131
0.000000,0.000000,1726702058.745713,711519.000,48131,2,EA,1,100,1.506474
0.000000,0.000000,1726702058.812714,711586.000,48131,2,EA,1,100,1.506801
0.000000,0.000000,1726702058.878715,711652.000,48149,1,EA,1,100,1.506474
0.000000,0.000000,1726702058.945715,711719.000,48167,2,EA,1,100,1.507131
0.000000,0.000000,1726702059.012716,711786.000,48167,2,EA,1,100,1.506474
0.000000,0.000000,1726702059.078717,711852.000,48183,1,EA,1,100,1.506474
0.000000,0.000000,1726702059.145218,711918.500,48199,2,EA,1,100,1.506474
0.000000,0.000000,1726702059.211719,711985.000,48199,2,EA,1,100,1.506147
0.000000,0.000000,1726702059.278720,712052.000,48214,1,EA,1,100,1.506474
0.000000,0.000000,1726702059.345221,712118.500,48232,2,EA,1,100,1.506147
0.000000,0.000000,1726702059.411722,712185.000,48232,2,EA,1,100,1.505817
0.000000,0.000000,1726702059.478723,712252.000,48248,2,EA,1,100,1.505491
0.000000,0.000000,1726702059.545724,712319.000,48248,2,EA,1,100,1.505817
0.000000,0.000000,1726702059.612725,712386.000,48265,1,EA,1,100,1.505817
0.000000,0.000000,1726702059.679226,712452.500,48280,2,EA,1,100,1.506147
0.000000,0.000000,1726702059.745727,712519.000,48280,2,EA,1,100,1.505161
0.000000,0.000000,1726702059.811728,712585.000,48297,1,EA,1,100,1.503854
0.000000,0.000000,1726702059.878729,712652.000,48313,2,EA,1,100,1.504835
0.000000,0.000000,1726702059.945730,712719.000,48313,2,EA,1,100,1.508116
0.000000,0.000000,1726702060.011731,712785.000,48331,1,EA,1,100,1.506801
0.000000,0.000000,1726702060.078731,712852.000,48345,2,EA,1,100,1.506474
0.000000,0.000000,1726702060.145732,712919.000,48345,2,EA,1,100,1.506474
