LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
0.000000,0.000000,1726702117.635543,770408.000,57640,2,AY,1,100,-0.200
0.000000,0.000000,1726702117.675544,770448.000,57640,2,AY,1,100,-0.226
0.000000,0.000000,1726702117.719544,770492.000,57656,3,AY,1,100,-0.227
0.000000,0.000000,1726702117.763545,770536.000,57656,3,AY,1,100,-0.222
0.000000,0.000000,1726702117.807546,770580.000,57656,3,AY,1,100,-0.226
0.000000,0.000000,1726702117.841546,770614.000,57671,2,AY,1,100,-0.228
0.000000,0.000000,1726702117.875547,770648.000,57671,2,AY,1,100,-0.216
0.000000,0.000000,1726702117.919547,770692.000,57688,3,AY,1,100,-0.216
0.000000,0.000000,1726702117.963548,770736.000,57688,3,AY,1,100,-0.215
0.000000,0.000000,1726702118.007548,770780.000,57688,3,AY,1,100,-0.224
0.000000,0.000000,1726702118.047549,770820.000,57705,3,AY,1,100,-0.229
0.000000,0.000000,1726702118.087550,770860.000,57705,3,AY,1,100,-0.231
0.000000,0.000000,1726702118.127550,770900.000,57705,3,AY,1,100,-0.228
0.000000,0.000000,1726702118.167551,770940.000,57721,2,AY,1,100,-0.233
0.000000,0.000000,1726702118.207551,770980.000,57721,2,AY,1,100,-0.230
0.000000,0.000000,1726702118.247552,771020.000,57736,3,AY,1,100,-0.226
0.000000,0.000000,1726702118.287552,771060.000,57736,3,AY,1,100,-0.219
0.000000,0.000000,1726702118.327553,771100.000,57736,3,AY,1,100,-0.215
0.000000,0.000000,1726702118.367554,771140.000,57755,2,AY,1,100,-0.217
0.000000,0.000000,1726702118.407554,771180.000,57755,2,AY,1,100,-0.213
0.000000,0.000000,1726702118.447555,771220.000,57772,3,AY,1,100,-0.209
0.000000,0.000000,1726702118.487555,771260.000,57772,3,AY,1,100,-0.196
0.000000,0.000000,1726702118.527556,771300.000,57772,3,AY,1,100,-0.202
0.000000,0.000000,1726702118.567556,771340.000,57788,2,AY,1,100,-0.190
0.000000,0.000000,1726702118.607557,771380.000,57788,2,AY,1,100,-0.197
0.000000,0.000000,1726702118.647557,771420.000,57805,3,AY,1,100,-0.192
0.000000,0.000000,1726702118.687558,771460.000,57805,3,AY,1,100,-0.192
0.000000,0.000000,1726702118.727559,771500.000,57805,3,AY,1,100,-0.180
0.000000,0.000000,1726702118.767559,771540.000,57820,2,AY,1,100,-0.188
0.000000,0.000000,1726702118.807560,771580.000,57820,2,AY,1,100,-0.179
0.000000,0.000000,1726702118.847560,771620.000,57837,3,AY,1,100,-0.172
0.000000,0.000000,1726702118.887561,771660.000,57837,3,AY,1,100,-0.212
0.000000,0.000000,1726702118.927561,771700.000,57837,3,AY,1,100,-0.179
0.000000,0.000000,1726702118.967562,771740.000,57854,2,AY,1,100,-0.236
0.000000,0.000000,1726702119.007563,771780.000,57854,2,AY,1,100,-0.166
0.000000,0.000000,1726702119.047563,771820.000,57871,3,AY,1,100,-0.221
0.000000,0.000000,1726702119.087564,771860.000,57871,3,AY,1,100,-0.208
0.000000,0.000000,1726702119.127564,771900.000,57871,3,AY,1,100,-0.275
0.000000,0.000000,1726702119.167565,771940.000,57885,2,AY,1,100,-0.269
0.000000,0.000000,1726702119.207565,771980.000,57885,2,AY,1,100,-0.240
0.000000,0.000000,1726702119.247566,772020.000,57903,3,AY,1,100,-0.251
0.000000,0.000000,1726702119.287567,772060.000,57903,3,AY,1,100,-0.237
0.000000,0.000000,1726702119.327567,772100.000,57903,3,AY,1,100,-0.234
0.000000,0.000000,1726702119.367568,772140.000,57919,2,AY,1,100,-0.227
0.000000,0.000000,1726702119.407568,772180.000,57919,2,AY,1,100,-0.219
0.000000,0.000000,1726702119.447569,772220.000,57936,3,AY,1,100,-0.229
0.000000,0.000000,1726702119.487569,772260.000,57936,3,AY,1,100,-0.232
0.000000,0.000000,1726702119.527570,772300.000,57936,3,AY,1,100,-0.235
0.000000,0.000000,1726702119.567570,772340.000,57950,2,AY,1,100,-0.227
0.000000,0.000000,1726702119.607571,772380.000,57950,2,AY,1,100,-0.219
0.000000,0.000000,1726702119.647572,772420.000,57968,3,AY,1,100,-0.214
0.000000,0.000000,1726702119.687572,772460.000,57968,3,AY,1,100,-0.209
0.000000,0.000000,1726702119.727573,772500.000,57968,3,AY,1,100,-0.210
0.000000,0.000000,1726702119.767573,772540.000,57986,3,AY,1,100,-0.195
0.000000,0.000000,1726702119.807574,772580.000,57986,3,AY,1,100,-0.188
0.000000,0.000000,1726702119.847574,772620.000,57986,3,AY,1,100,-0.167
0.000000,0.000000,1726702119.887575,772660.000,58003,2,AY,1,100,-0.149
0.000000,0.000000,1726702119.927576,772700.000,58003,2,AY,1,100,-0.153
