LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.000000,0.000000,1726702087.531119,740304.000,52772,2,PG,1,100,621
0.000000,0.000000,1726702087.571119,740344.000,52772,2,PG,1,100,622
0.000000,0.000000,1726702087.611120,740384.000,52790,3,PG,1,100,631
0.000000,0.000000,1726702087.651120,740424.000,52790,3,PG,1,100,618
0.000000,0.000000,1726702087.691121,740464.000,52790,3,PG,1,100,623
0.000000,0.000000,1726702087.731121,740504.000,52806,2,PG,1,100,627
0.000000,0.000000,1726702087.771122,740544.000,52806,2,PG,1,100,630
0.000000,0.000000,1726702087.811123,740584.000,52822,3,PG,1,100,627
0.000000,0.000000,1726702087.851123,740624.000,52822,3,PG,1,100,625
0.000000,0.000000,1726702087.891124,740664.000,52822,3,PG,1,100,635
0.000000,0.000000,1726702087.931124,740704.000,52838,2,PG,1,100,623
0.000000,0.000000,1726702087.971125,740744.000,52838,2,PG,1,100,618
0.000000,0.000000,1726702088.011125,740784.000,52855,3,PG,1,100,611
0.000000,0.000000,1726702088.051126,740824.000,52855,3,PG,1,100,621
0.000000,0.000000,1726702088.091127,740864.000,52855,3,PG,1,100,620
0.000000,0.000000,1726702088.131127,740904.000,52871,3,PG,1,100,603
0.000000,0.000000,1726702088.171128,740944.000,52871,3,PG,1,100,617
0.000000,0.000000,1726702088.211128,740984.000,52871,3,PG,1,100,605
0.000000,0.000000,1726702088.251129,741024.000,52888,2,PG,1,100,608
0.000000,0.000000,1726702088.291129,741064.000,52888,2,PG,1,100,604
0.000000,0.000000,1726702088.331130,741104.000,52905,3,PG,1,100,615
0.000000,0.000000,1726702088.371130,741144.000,52905,3,PG,1,100,612
0.000000,0.000000,1726702088.411131,741184.000,52905,3,PG,1,100,625
0.000000,0.000000,1726702088.451132,741224.000,52922,2,PG,1,100,624
0.000000,0.000000,1726702088.491132,741264.000,52922,2,PG,1,100,611
0.000000,0.000000,1726702088.531133,741304.000,52938,3,PG,1,100,631
0.000000,0.000000,1726702088.571133,741344.000,52938,3,PG,1,100,618
0.000000,0.000000,1726702088.611134,741384.000,52938,3,PG,1,100,625
0.000000,0.000000,1726702088.651134,741424.000,52956,2,PG,1,100,616
0.000000,0.000000,1726702088.691135,741464.000,52956,2,PG,1,100,620
0.000000,0.000000,1726702088.731136,741504.000,52970,3,PG,1,100,614
0.000000,0.000000,1726702088.771136,741544.000,52970,3,PG,1,100,628
0.000000,0.000000,1726702088.811137,741584.000,52970,3,PG,1,100,612
0.000000,0.000000,1726702088.851137,741624.000,52987,2,PG,1,100,625
0.000000,0.000000,1726702088.891138,741664.000,52987,2,PG,1,100,622
0.000000,0.000000,1726702088.931138,741704.000,53004,3,PG,1,100,619
0.000000,0.000000,1726702088.971139,741744.000,53004,3,PG,1,100,615
0.000000,0.000000,1726702089.011140,741784.000,53004,3,PG,1,100,623
0.000000,0.000000,1726702089.051140,741824.000,53021,2,PG,1,100,625
0.000000,0.000000,1726702089.091141,741864.000,53021,2,PG,1,100,614
0.000000,0.000000,1726702089.131141,741904.000,53035,3,PG,1,100,623
0.000000,0.000000,1726702089.171142,741944.000,53035,3,PG,1,100,619
0.000000,0.000000,1726702089.211142,741984.000,53035,3,PG,1,100,621
0.000000,0.000000,1726702089.251143,742024.000,53052,3,PG,1,100,618
0.000000,0.000000,1726702089.291143,742064.000,53052,3,PG,1,100,632
0.000000,0.000000,1726702089.331144,742104.000,53052,3,PG,1,100,614
0.000000,0.000000,1726702089.371145,742144.000,53069,2,PG,1,100,612
0.000000,0.000000,1726702089.411145,742184.000,53069,2,PG,1,100,613
0.000000,0.000000,1726702089.451146,742224.000,53086,3,PG,1,100,611
0.000000,0.000000,1726702089.491146,742264.000,53086,3,PG,1,100,608
0.000000,0.000000,1726702089.531147,742304.000,53086,3,PG,1,100,615
0.000000,0.000000,1726702089.571147,742344.000,53101,2,PG,1,100,613
0.000000,0.000000,1726702089.611148,742384.000,53101,2,PG,1,100,614
0.000000,0.000000,1726702089.651149,742424.000,53118,3,PG,1,100,614
0.000000,0.000000,1726702089.691149,742464.000,53118,3,PG,1,100,616
0.000000,0.000000,1726702089.731150,742504.000,53118,3,PG,1,100,612
